id,url,uuid,title,field_collection_number,field_date_available,field_date_published,field_finding_aid,field_item_barcode,field_library_catalog_link,field_oclc_number,field_unique_id,field_abstract,field_rights,field_access_terms,field_copyright_and_use,field_description,field_digital_publisher,field_genre,field_model,field_publisher,field_resource_type,field_subject,field_alternative_title,field_featured_item,field_dspace_item_id,field_digital_identifier,field_creator,field_publisher_country,field_spatial_coverage,field_date_copyrighted,field_date_created,file,field_contributor
4501,https://digital.library.jhu.edu/node/15522,815ad900-bafb-4c80-a04a-6970920e799f,v2-p053,,2009-11-02,1961,,31151010105439,https://catalyst.library.jhu.edu/catalog/bib_1366398,81508031,f203b674-c241-4d27-ad62-694acd87c008,,Public digital access,Maps and Atlases,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,Maps,Page,,Image,Test,,,376474a5-7468-4cbf-bb7f-1c9a413f166b,,,,,,,https://stage.digital.library.jhu.edu/system/files/2022-03-24/TE25_B15_I5_1961_QUARTO_v2_c1_p053.tif,
4502,https://digital.library.jhu.edu/node/15523,96d0e7aa-f9d5-411d-b827-75c1d92d39ff,v2-p054,,2009-11-02,1961,,31151010105439,https://catalyst.library.jhu.edu/catalog/bib_1366398,81508031,5cd2ee81-e356-4ec7-9939-5acc4bba887c,,Public digital access,Maps and Atlases,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,Maps,Page,,Image,Test,,,376474a5-7468-4cbf-bb7f-1c9a413f166b,,,,,,,https://stage.digital.library.jhu.edu/system/files/2022-03-24/TE25_B15_I5_1961_QUARTO_v2_c1_p054.tif,
4503,https://digital.library.jhu.edu/node/15524,177c0ddf-3eca-48f4-b14e-a966fc530fc8,v2-p055,,2009-11-02,1961,,31151010105439,https://catalyst.library.jhu.edu/catalog/bib_1366398,81508031,b3771803-3183-4cf6-a092-03bd96d55ad7,,Public digital access,Maps and Atlases,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,Maps,Page,,Image,Test,,,376474a5-7468-4cbf-bb7f-1c9a413f166b,,,,,,,https://stage.digital.library.jhu.edu/system/files/2022-03-24/TE25_B15_I5_1961_QUARTO_v2_c1_p055.tif,
4504,https://digital.library.jhu.edu/node/15525,4f79544d-b68f-4939-92d8-692284328f11,v2-p056,,2009-11-02,1961,,31151010105439,https://catalyst.library.jhu.edu/catalog/bib_1366398,81508031,158debb1-2adc-46a2-b2b7-b465cfcec65d,,Public digital access,Maps and Atlases,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,Maps,Page,,Image,Test,,,376474a5-7468-4cbf-bb7f-1c9a413f166b,,,,,,,https://stage.digital.library.jhu.edu/system/files/2022-03-24/TE25_B15_I5_1961_QUARTO_v2_c1_p056.tif,
4505,https://digital.library.jhu.edu/node/15526,441fd92e-7ca7-44e0-bda5-52eeca337fee,v2-p057,,2009-11-02,1961,,31151010105439,https://catalyst.library.jhu.edu/catalog/bib_1366398,81508031,d00ada9a-9a98-4f82-948e-6ada85d0712e,,Public digital access,Maps and Atlases,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,Maps,Page,,Image,Test,,,376474a5-7468-4cbf-bb7f-1c9a413f166b,,,,,,,https://stage.digital.library.jhu.edu/system/files/2022-03-24/TE25_B15_I5_1961_QUARTO_v2_c1_p057.tif,
4506,https://digital.library.jhu.edu/node/15527,fef642a9-42c3-4b7a-8e06-586285b136a3,v2-p058,,2009-11-02,1961,,31151010105439,https://catalyst.library.jhu.edu/catalog/bib_1366398,81508031,e83f7d13-f6d7-413a-9eae-4c3ff33def35,,Public digital access,Maps and Atlases,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,Maps,Page,,Image,Test,,,376474a5-7468-4cbf-bb7f-1c9a413f166b,,,,,,,https://stage.digital.library.jhu.edu/system/files/2022-03-24/TE25_B15_I5_1961_QUARTO_v2_c1_p058.tif,
4507,https://digital.library.jhu.edu/node/15528,54b8ff5e-de39-4123-8cff-117e50d4a658,v2-p059,,2009-11-02,1961,,31151010105439,https://catalyst.library.jhu.edu/catalog/bib_1366398,81508031,4a1d901e-f271-44a2-a23d-c100d5ca5e59,,Public digital access,Maps and Atlases,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,Maps,Page,,Image,Test,,,376474a5-7468-4cbf-bb7f-1c9a413f166b,,,,,,,https://stage.digital.library.jhu.edu/system/files/2022-03-24/TE25_B15_I5_1961_QUARTO_v2_c1_p059.tif,
4508,https://digital.library.jhu.edu/node/15529,de5da58a-698f-4dd5-a803-108859857df7,v2-p060,,2009-11-02,1961,,31151010105439,https://catalyst.library.jhu.edu/catalog/bib_1366398,81508031,e0699f5f-0ee5-4cc1-9c2b-96b2f5c677ad,,Public digital access,Maps and Atlases,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,Maps,Page,,Image,Test,,,376474a5-7468-4cbf-bb7f-1c9a413f166b,,,,,,,https://stage.digital.library.jhu.edu/system/files/2022-03-24/TE25_B15_I5_1961_QUARTO_v2_c1_p060.tif,
4509,https://digital.library.jhu.edu/node/15530,dba7301b-0c52-47d2-ad56-d01f02cf31d4,v2-p061,,2009-11-02,1961,,31151010105439,https://catalyst.library.jhu.edu/catalog/bib_1366398,81508031,2ada4d5c-b8ea-4d74-b2aa-cb0d549e200d,,Public digital access,Maps and Atlases,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,Maps,Page,,Image,Test,,,376474a5-7468-4cbf-bb7f-1c9a413f166b,,,,,,,https://stage.digital.library.jhu.edu/system/files/2022-03-24/TE25_B15_I5_1961_QUARTO_v2_c1_p061.tif,
4510,https://digital.library.jhu.edu/node/15531,b8b35dec-221e-4c33-89b8-b32dde619399,v2-p062,,2009-11-02,1961,,31151010105439,https://catalyst.library.jhu.edu/catalog/bib_1366398,81508031,191e0235-076e-4b01-a8a6-43e33d34a092,,Public digital access,Maps and Atlases,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,Maps,Page,,Image,Test,,,376474a5-7468-4cbf-bb7f-1c9a413f166b,,,,,,,https://stage.digital.library.jhu.edu/system/files/2022-03-24/TE25_B15_I5_1961_QUARTO_v2_c1_p062.tif,
