id,url,uuid,title,field_collection_number,field_date_available,field_date_published,field_finding_aid,field_item_barcode,field_library_catalog_link,field_oclc_number,field_unique_id,field_abstract,field_rights,field_access_terms,field_copyright_and_use,field_description,field_digital_publisher,field_genre,field_model,field_publisher,field_resource_type,field_subject,field_alternative_title,field_featured_item,field_dspace_item_id,field_digital_identifier,field_creator,field_publisher_country,field_spatial_coverage,field_date_copyrighted,field_date_created,file,field_contributor
2501,https://digital.library.jhu.edu/node/13598,a63ec2eb-47e7-43a1-9394-d74071309ea1,"Johns Hopkins University News-letter, Volume 58, Number 17 (1954 March 05)",RG.14.050,2016-09-07,1954-03-05,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,220412aa-cab0-4743-bc30-b0f27bae1aac,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,91b41399-3683-4367-a1ea-f139a24b2cd1,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1954_58_17.pdf,
2502,https://digital.library.jhu.edu/node/13599,4a81e046-8251-42ab-96da-a441a4792869,"Johns Hopkins University News-letter, Volume 58, Number 18 (1954 March 12)",RG.14.050,2016-09-07,1954-03-12,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,b61a705a-1259-4825-8abb-b688281b2492,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,515369d5-8f8e-4858-b37d-ccfeefe9b451,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1954_58_18.pdf,
2503,https://digital.library.jhu.edu/node/13600,e009d7b4-2db4-49a4-b71d-e1b162b5516b,"Johns Hopkins University News-letter, Volume 58, Number 19 (1954 March 19)",RG.14.050,2016-09-07,1954-03-19,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,6fad22d8-7425-4a49-bc48-a3d85465c7b3,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,c4987e5e-aecc-4002-a3cb-34498bd2c4f0,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1954_58_19.pdf,
2504,https://digital.library.jhu.edu/node/13601,3e8a90ab-9a4c-478d-8618-562fdad5691a,"Johns Hopkins University News-letter, Volume 58, Number 20 (1954 March 26)",RG.14.050,2016-09-07,1954-03-26,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,92bb2509-b4f7-437c-9abd-a1f386331391,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,1aa009c4-adcd-4739-9f16-301683544308,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1954_58_20.pdf,
2505,https://digital.library.jhu.edu/node/13602,9b7b685b-1795-4f1f-94a5-21ae4d0d8e58,"Johns Hopkins University News-letter, Volume 58, Number 21 (1954 April 02)",RG.14.050,2016-09-08,1954-04-02,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,d6e6a5c2-6537-49f6-9ac4-7a5709dccfcf,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,608cf039-d765-492a-ba54-b7ee8ba4414a,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1954_58_21.pdf|https://stage.digital.library.jhu.edu/system/files/2022-03-16/1954_58_21a.pdf,
2506,https://digital.library.jhu.edu/node/13603,411d1e5d-d9ec-4346-b9db-05b3f49192ae,"Johns Hopkins University News-letter, Volume 58, Number 22 (1954 April 09)",RG.14.050,2016-09-08,1954-04-09,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,2097a062-d6a0-4012-98ed-31313c544a12,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,8fc4ab3b-b5ad-4d00-9007-baa9ddf97797,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1954_58_22.pdf,
2507,https://digital.library.jhu.edu/node/13604,f2efe9c4-0a20-492e-9b9c-35bced354fe8,"Johns Hopkins University News-letter, Volume 58, Number 23 (1954 April 23)",RG.14.050,2016-09-08,1954-04-23,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,919051ef-35b7-440e-905a-445861116448,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,3a8005e8-501d-449f-8578-0de3a9c017aa,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1954_58_23.pdf,
2508,https://digital.library.jhu.edu/node/13605,bc465e32-584d-415a-9b94-35120799817e,"Johns Hopkins University News-letter, Volume 58, Number 24 (1954 April 30)",RG.14.050,2016-09-08,1954-04-30,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,27e77b01-717b-433d-88b6-6227ce1bf6d2,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,e0a2bff5-b3fa-44d8-bbcc-a84746a54ec7,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1954_58_24.pdf,
2509,https://digital.library.jhu.edu/node/13606,db8ae953-7d1c-4e31-b4fc-19fcb1637236,"Johns Hopkins University News-letter, Volume 58, Number 25 (1954 May 07)",RG.14.050,2016-09-07,1954-05-07,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,84743c3a-2b57-4896-9123-513c5ba4c63b,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,6c5ed3ae-8ed0-46af-98bf-2221c1c4f3c5,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1954_58_25.pdf,
2510,https://digital.library.jhu.edu/node/13607,86285946-a4bd-434a-99dd-4c09d9a21850,"Johns Hopkins University News-letter, Volume 58, Number 26 (1954 May 14)",RG.14.050,2016-09-07,1954-05-14,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,a763642e-2586-4497-937e-2c11bfd71611,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,c20898fc-2608-4a29-8a13-056640caf2e0,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1954_58_26.pdf,
