term_name,description,field_authority_link,field_date,field_person_alternate_name,field_preferred_name_fuller_form,field_preferred_name_number,field_preferred_name_prefix,field_preferred_name_rest,field_preferred_name_suffix,field_primary_part_of_name,field_unique_id
"Arnowitz, Leonard",,,,,,,,Leonard,,Arnowitz,6f8ee7af-8b0e-4acc-8e32-794b8dca2490
"Asper, Samuel P.",,viaf%%http://viaf.org/viaf/40936820|lcnaf%%http://id.loc.gov/authorities/names/n88185375,,,,,,Samuel P.,,Asper,f53996ba-0461-443a-93b6-33452fa63758
"Astin, Allen Varley, 1904-1984",,viaf%%http://viaf.org/viaf/46017867|lcnaf%%http://id.loc.gov/authorities/names/n95110643,1904/1984,,,,,Allen Varley,,Astin,2bf0390e-4ef2-4f40-9950-155d55bbe638
"Avedon, Arthur","Location information: New York, NY, NY",,,,,,,Arthur,,Avedon,6a40f789-04a8-4b45-a6f0-f66bb150c021
"Avery, William H.",,viaf%%http://viaf.org/viaf/2560960|lcnaf%%http://id.loc.gov/authorities/names/n93076907,,,,,,William H.,,Avery,a3ec1128-11df-407d-8030-0c1c38789da4
"Azmi, Lubna",,,,,,,,Lubna,,Azmi,f9a8ce8f-228f-4f74-b5d4-426639ef76ff
B.D.,,,,,,,,,,B.D.,a5b56022-30e7-4476-bd5e-0358cda1bd76
"Bachman, Paul",,,,,,,,Paul,,Bachman,79586db6-38a2-48e3-99a6-757185ae545d
"Bachrach, Fabian, 1917-2010","Location information: Baltimore, MD, MD",viaf%%http://viaf.org/viaf/65807244,1917/2010,,,,,Fabian,,Bachrach,fe4b667a-3ce1-4a58-8826-f28c500e776b
"Baetjer, Anna M. (Anna Medora), 1899-",,viaf%%http://viaf.org/viaf/31884691|lcnaf%%http://id.loc.gov/authorities/names/nr95009624,1899/,,Anna Medora,,,Anna M.,,Baetjer,109c7ed1-158e-42d0-beda-98ecf7a2a0cf
"Baetjer, Walter",,,,,,,,Walter,,Baetjer,430000e1-a105-47d1-879b-535aa1601055
"Baez, Joan",,viaf%%http://viaf.org/viaf/112435547|lcnaf%%http://id.loc.gov/authorities/names/n50019193,,,,,,Joan,,Baez,0d2654d3-63e3-490f-b73b-96c6712ce98b
"Bahcall, John N.",,viaf%%http://viaf.org/viaf/56671543|lcnaf%%http://id.loc.gov/authorities/names/n81040797,,,,,,John N.,,Bahcall,50f8ef09-3ad3-4f85-99c6-bb4ebaa27c4e
"Bain, Bill",,,,,,,,Bill,,Bain,0f31e404-3028-4871-a1cb-b25e98854f68
