term_name,description,field_authority_link,field_date,field_person_alternate_name,field_preferred_name_fuller_form,field_preferred_name_number,field_preferred_name_prefix,field_preferred_name_rest,field_preferred_name_suffix,field_primary_part_of_name,field_unique_id
"Dunkle, David H.",,viaf%%http://viaf.org/viaf/283846299,,,,,,David H.,,Dunkle,fb526db5-8108-4447-9f6d-0f17ce6bf06d
"Dunn, Frederick Sherwood, 1893-1962",,viaf%%http://viaf.org/viaf/7461845|lcnaf%%http://id.loc.gov/authorities/names/n81047401,1893/1962,,,,,Frederick Sherwood,,Dunn,fa8aca2c-1fb1-4a3d-bb6e-70947b8880f3
"Duroselle, Jean-Baptiste, 1917-1994",,viaf%%http://viaf.org/viaf/109464653|lcnaf%%http://id.loc.gov/authorities/names/n79065241,1917/1994,,,,,Jean-Baptiste,,Duroselle,e2e087a7-ae5e-4543-8306-87e7ceadfa47
E.D.,,,,,,,,,,E.D.,0f58d24f-0e63-45f5-b0d0-08ef3ed4da0e
"Eckstein, Adolf",,,,,,,,Adolf,,Eckstein,13c5c572-ca9f-4ec2-bee1-857183086225
"Edelstein, Ludwig, 1902-1965",,viaf%%http://viaf.org/viaf/24640598|lcnaf%%http://id.loc.gov/authorities/names/n84806580,1902/1965,,,,,Ludwig,,Edelstein,b81da765-6ea2-4140-86c0-7874651d342c
"Edgerton, Milton T., 1921-",,viaf%%http://viaf.org/viaf/58141752|lcnaf%%http://id.loc.gov/authorities/names/n87859171,1921/,,,,,Milton T.,,Edgerton,a49ce7f7-189a-4847-9efc-a0816b61b668
"Edmonaton, David B.",,,,,,,,David B.,,Edmonaton,b5302cbd-9506-4a53-b3be-03af20737a21
"Edmondson, Robert B.",,,,,,,,Robert B.,,Edmondson,6a7d7f05-4fb2-437d-ab64-e7ceba2838ca
Edmondson,"Location information: Cleveland, OH, OH",,,,,,,,,Edmondson,9bd9e6ad-e2e4-46c2-93ec-ee8374d6704c
Edmonston,,,,,,,,,,Edmonston,916d5095-9b62-4fbc-bf40-5e38d33fa978
"Edmunds, Farnia",,,,,,,,Farnia,,Edmunds,eca8fb7f-8e84-4bc8-8e05-daabae94eace
"Edmunds, James R.",,,,,,,,James R.,,Edmunds,a46fcd0b-dd07-4c22-ac79-312be3213aa6
"Edsall, John T. (John Tileston), 1902-2002",,viaf%%http://viaf.org/viaf/17284152|lcnaf%%http://id.loc.gov/authorities/names/n82104305,1902/2002,,John Tileston,,,John T.,,Edsall,3e993102-745e-45f7-89ac-5c968d4f7785
"Edwards, Mack",,,,,,,,Mack,,Edwards,db7eecab-d60f-4048-83fd-8d40776e3714
"Egginton, William, 1969-",,viaf%%http://viaf.org/viaf/15016513|lcnaf%%http://id.loc.gov/authorities/names/n2002031094,1969/,,,,,William,,Egginton,9629fc21-f049-42f9-b16a-bf4f04ed159f
"Eichner, Laurits Christian, 1894-1967",,viaf%%http://viaf.org/viaf/106861201|lcnaf%%http://id.loc.gov/authorities/names/no2010004361,1894/1967,,,,,Laurits Christian,,Eichner,65a71663-76cb-4cd1-80aa-eb989cdc54d8
"Einhorn, Joshua",,,,,,,,Joshua,,Einhorn,6cc5ed57-322e-4ffd-bb36-add5924a5a02
"Einstein, Albert, 1879-1955",,viaf%%http://viaf.org/viaf/75121530|lcnaf%%http://id.loc.gov/authorities/names/n79022889,1879/1955,,,,,Albert,,Einstein,01ff3f1e-3611-4e01-9bcc-f5bb728cc39f
"Eiseley, Loren C., 1907-1977",,viaf%%http://viaf.org/viaf/36961244|lcnaf%%http://id.loc.gov/authorities/names/n79045159,1907/1977,,,,,Loren C.,,Eiseley,2be721b8-07d3-4c22-91b7-e2abbcab7a5a
"Eisenhower, Dwight D. (Dwight David), 1890-1969",,viaf%%http://viaf.org/viaf/100176316|lcnaf%%http://id.loc.gov/authorities/names/n79066408,1890/1969,,Dwight David,,,Dwight D.,,Eisenhower,9c1e52e5-9b53-4e03-a9cb-b2cff3d09283
"Eisenhower, Milton Stover, 1899-1985",,viaf%%http://viaf.org/viaf/111199506|lcnaf%%http://id.loc.gov/authorities/names/n50031728,1899/1985,,,,,Milton Stover,,Eisenhower,b93337c0-6eab-4b78-af7a-c1a12b058c7a
"Ekholm, Gordon F. (Gordon Frederick), 1909-1987",,viaf%%http://viaf.org/viaf/109867335|lcnaf%%http://id.loc.gov/authorities/names/n87914927,1909/1987,,Gordon Frederick,,,Gordon F.,,Ekholm,17cda770-afd3-4194-bffa-9df60ad44d90
"Ellen, Elizabeth",,,,,,,,Elizabeth,,Ellen,6685e1bc-fd6f-47c6-8a5c-fbacdb7e6924
"Ellington, Duke, 1899-1974",,viaf%%http://viaf.org/viaf/66651610|lcnaf%%http://id.loc.gov/authorities/names/n50080187,1899/1974,,,,,Duke,,Ellington,0ecd0673-b032-4b0a-b70f-9b22ce81fc27
"Elliott, A. Marshall",,viaf%%http://viaf.org/viaf/33465884|lcnaf%%http://id.loc.gov/authorities/names/n85814451,,,,,,A. Marshall,,Elliott,20e5f401-7635-41d9-8966-51edeb2796e4
"Emerson, Robert W.",,viaf%%http://viaf.org/viaf/13792212|lcnaf%%http://id.loc.gov/authorities/names/n86077961,,,,,,Robert W.,,Emerson,3f7e9015-8114-4d20-b33d-3e140bce929c
"Emge, Lawrence B.",,,,,,,,Lawrence B.,,Emge,786c5f41-642a-4e86-8665-3ecc10df8215
"Emil, A.",Location information: Paris,,,,,,,A.,,Emil,a7604dfe-00aa-43a6-94e9-38bde6fde2dc
"Emmart, A. D., 1902-",,,1902/,,,,,A. D.,,Emmart,354bc1fa-8294-45a2-9ab2-4692f58667a8
"Emory, Hopper, 1881-",,,1881/,,,,,Hopper,,Emory,701078c7-558c-4612-be8f-e8bc4c158da0
"Engeman, Jack","Location information: Baltimore, MD, MD",viaf%%http://viaf.org/viaf/45723955,,,,,,Jack,,Engeman,8c23a1e7-fe26-4f7c-92c8-fdc065b6d080
"Engle, Mary Allen",,viaf%%http://viaf.org/viaf/91396500|lcnaf%%http://id.loc.gov/authorities/names/n79053736,,,,,,Mary Allen,,Engle,37d67977-40ba-4541-9b87-0951f0e39db8
Enroy,,,,,,,,,,Enroy,d2fedbf8-cd52-4f24-86c6-958d1a837019
"Entwistle, Doris R.",,viaf%%http://viaf.org/viaf/214149294084780520386,,,,,,Doris R.,,Entwistle,593020ff-06e6-48c2-a866-f26e0c41f245
"Epstein, Joyce Levy",,viaf%%http://viaf.org/viaf/30852945|lcnaf%%http://id.loc.gov/authorities/names/n81010623,,,,,,Joyce Levy,,Epstein,3033c49f-a0a3-479e-a22d-1474a8b7cf40
"Eriksen, Charles W.",,viaf%%http://viaf.org/viaf/455148389423910711383,,,,,,Charles W.,,Eriksen,783b0d91-7886-4a0b-a8c7-1b9514dbdca7
"Erlanger, Sidney C.",,,,,,,,Sidney C.,,Erlanger,91294c2f-bdb6-4bf7-9e37-d6ecff01e20f
Ettore-Winter,"Location information: Buffalo, NY, NY",,,,,,,,,Ettore-Winter,6c5a44a5-980f-4514-8984-cb587d1a3bc5
"Evans, Clifford, 1920-1981",,viaf%%http://viaf.org/viaf/113853537|lcnaf%%http://id.loc.gov/authorities/names/n85307322,1920/1981,,,,,Clifford,,Evans,6c6b6301-548c-4aea-9be5-3263747bd249
"Evans, George Heberton",,viaf%%http://viaf.org/viaf/109568505|lcnaf%%http://id.loc.gov/authorities/names/n82162122,,,,,,George Heberton,,Evans,366659d3-fb7d-4f36-9507-1ba70ca12810
"Evans, Luther Harris, 1902-1981",,viaf%%http://viaf.org/viaf/25125209|lcnaf%%http://id.loc.gov/authorities/names/n82099611,1902/1981,,,,,Luther Harris,,Evans,3b82a2b9-8c69-439b-8253-2ad12109c1f7
"Evans, May Garrettson, 1866-1947",,viaf%%http://viaf.org/viaf/4980487|lcnaf%%http://id.loc.gov/authorities/names/n97874503,1866/1947,,,,,May Garrettson,,Evans,1b244190-a609-4b01-b7ab-86c5691a7f47
Evans,"Location information: Philadelphia, PA, PA",,,,,,,,,Evans,1eeadd5d-03e1-4ae2-8a82-ad9ab34a06f9
"Everett, Montague","Location information: White Plains, NY, NY",,,,,,,Montague,,Everett,932c21bf-83d3-4806-ac30-8f5ad1a7d76f
"Ezekiel, Moses Jacob, 1844-1917",,lcnaf%%http://id.loc.gov/authorities/names/n87819462|viaf%%http://viaf.org/viaf/284180,1844/1917,,,,,Moses Jacob,,Ezekiel,829f27a8-40d7-481a-8294-32a9c5a6a2bc
"Fagin, N. Bryllion (Nathan Bryllion), 1892-1971",,viaf%%http://viaf.org/viaf/20926305|lcnaf%%http://id.loc.gov/authorities/names/n50011590,1892/1971,,Nathan Bryllion,,,N. Bryllion,,Fagin,0ba0b7bf-6500-433a-8a8e-9a08a130d157
"Fahlberg, Constantin, 1850-1910",,,1850/1910,,,,,Constantin,,Fahlberg,abf16948-b060-40c8-b0ef-9f8a3c6a9f20
Fairbanks,"Location information: Syracuse, NY, NY",,,,,,,,,Fairbanks,93c3ae3e-5dd7-41bc-a917-66c915a9ac5b
Fairchild Hiller,"Location information: Germantown, MD, MD",,,,,,,,,Fairchild Hiller,bfc32f49-b5a3-463a-9a84-6b4cd3dbebce
"Falzone, Christopher",Chemistry professor at Johns Hopkins University.,,,,,,,Christopher,,Falzone,24c89c82-345e-4b11-bfa8-fd6f0bf040b1
"Farah, Mohamed",,,,,,,,Mohamed,,Farah,58a5771f-f10d-4da1-b989-1b466f3f76f2
"Farber, Mindy, 1954-",,viaf%%http://viaf.org/viaf/73460778|lcnaf%%http://id.loc.gov/authorities/names/no97052611,1954/,,,,,Mindy,,Farber,29294e97-eb77-455b-8864-fbce2942a589
"Farenthold, Frances (Frances Tarlton), 1926-",,viaf%%http://viaf.org/viaf/41647209|lcnaf%%http://id.loc.gov/authorities/names/no2008053548,1926/,,Frances Tarlton,,,Frances,,Farenthold,be931e3b-2cbc-4e3a-8120-68383787d789
"Farley, Frederic H. M. S.",,,,,,,,Frederic H. M. S.,,Farley,c9200734-1f4a-460f-96c7-8bdf8ee688b3
"Farrar, Anthony",,,,,,,,Anthony,,Farrar,169acc35-cbc1-4ef1-9748-1e6c86daf8a3
"Fastie, William G., 1916-2000",,viaf%%http://viaf.org/viaf/51420148|lcnaf%%http://id.loc.gov/authorities/names/no2005046639,1916/2000,,,,,William G.,,Fastie,45af0ad3-cf40-4fcc-8f6f-fa209a597016
"Faust, Clarence H. (Clarence Henry), 1901-1975",,viaf%%http://viaf.org/viaf/109279136|lcnaf%%http://id.loc.gov/authorities/names/no2001086779,1901/1975,,Clarence Henry,,,Clarence H.,,Faust,d5b7059e-68b1-4da7-9e92-30aa67bf8f6b
"Feder, F. Paul",,,,,,,,F. Paul,,Feder,c914310d-c414-46f0-94ad-dd0d96e492df
"Feldman, Paul D.",,viaf%%http://viaf.org/viaf/69045173|lcnaf%%http://id.loc.gov/authorities/names/n96062793,,,,,,Paul D.,,Feldman,7c435b6e-9dd4-4908-bef5-9ca5cc86185e
"Felt, Elliott",,,,,,,,Elliott,,Felt,49fd7e74-69b5-4760-9ab4-49a889e26957
"Fewster, Wilson",,,,,,,,Wilson,,Fewster,74e7ec4f-b16a-47ab-9e8e-b61b11b8ff69
"Field, George B., 1929-",,viaf%%http://viaf.org/viaf/108154796|lcnaf%%http://id.loc.gov/authorities/names/n50005193,1929/,,,,,George B.,,Field,c6cb7698-a3e0-4925-9c4c-582cffe16cba
"Firor, Warfield, 1896-",,viaf%%http://viaf.org/viaf/75561311|lcnaf%%http://id.loc.gov/authorities/names/n95050837,1896/,,,,,Warfield,,Firor,84a377ac-b65f-4df9-a573-f59e57027df9
"Fishbein, Estelle",,,,,,,,Estelle,,Fishbein,19968fb5-729f-40f8-8378-0ea5f68adc1d
"Fisher, John H.",,,,,,,,John H.,,Fisher,e066e03d-3751-4438-8075-fafb20b270d9
"Fisher, John J.",,,,,,,,John J.,,Fisher,317c6f0e-ea3f-4f05-b4de-9c8b58651b81
"Fisher, Russell S., 1916-1984",,viaf%%http://viaf.org/viaf/91449355|lcnaf%%http://id.loc.gov/authorities/names/n79099269,1916/1984,,,,,Russell S.,,Fisher,98a64caa-a5e8-4a6b-bd67-6acff7486a2c
"Flagstad, Kirsten, 1895-1962",,viaf%%http://viaf.org/viaf/22327235|lcnaf%%http://id.loc.gov/authorities/names/n50004170,1895/1962,,,,,Kirsten,,Flagstad,84a469ef-282a-4592-b599-0a26e3c423b7
"Fleisher, Leon",,viaf%%http://viaf.org/viaf/101604753|lcnaf%%http://id.loc.gov/authorities/names/n83127175,,,,,,Leon,,Fleisher,487d61f0-03de-4c06-a971-860405dabaee
"Fletcher, C. Scott (Cyril Scott), 1904-1991",,viaf%%http://viaf.org/viaf/61162300|lcnaf%%http://id.loc.gov/authorities/names/no98069750,1904/1991,,Cyril Scott,,,C. Scott,,Fletcher,6f636524-31c6-4e80-87ff-1098251817f1
"Fletcher, M. L.",,,,,,,,M. L.,,Fletcher,e199bdd7-1164-48f0-96d3-85504df6097a
"Flexner, Abraham, 1866-1959",,viaf%%http://viaf.org/viaf/24735888|lcnaf%%http://id.loc.gov/authorities/names/n50003555,1866/1959,,,,,Abraham,,Flexner,d455d9e6-fa55-4088-950f-289376accbbc
"Flickinger, Don",,,,,,,,Don,,Flickinger,52b2028c-9b2d-431d-9c5f-87ae0a19fd83
"Flombaum, Jonathan",,,,,,,,Jonathan,,Flombaum,d5a12fb4-4f00-4d60-9319-8a015f025b68
"Fonda, Jane, 1937-",,viaf%%http://viaf.org/viaf/37036983|lcnaf%%http://id.loc.gov/authorities/names/n79103680,1937/,,,,,Jane,,Fonda,0d25bc49-2041-4301-bfce-c47062fd50fd
"Fonteyn, Margot, 1919-1991",,viaf%%http://viaf.org/viaf/109469491|lcnaf%%http://id.loc.gov/authorities/names/n79063851,1919/1991,,,,,Margot,,Fonteyn,1dc4b9f7-9169-46c0-b05a-f102de79edf7
"Foraste, John",,,,,,,,John,,Foraste,636a6cb4-cf7b-4082-ac74-26b857829f2d
"Forgione, Nancy Ellen, 1952-",,viaf%%http://viaf.org/viaf/115303135|lcnaf%%http://id.loc.gov/authorities/names/nr96032681,1952/,,,,,Nancy Ellen,,Forgione,da4b7239-376e-4d00-98eb-6c4f13f027b7
"Foster, Carl D.",,viaf%%http://viaf.org/viaf/93072285|lcnaf%%http://id.loc.gov/authorities/names/n88146062,,,,,,Carl D.,,Foster,5e9926ed-ad86-4b1e-b840-41d5a825b31c
"Fowler, Laurence Hall, 1876-1971",,viaf%%http://viaf.org/viaf/115195772|lcnaf%%http://id.loc.gov/authorities/names/n83127872,1876/1971,,,,,Laurence Hall,,Fowler,86912d49-7232-4356-8547-d97cad199d2e
"Fox, Lynn H., 1944-",,viaf%%http://viaf.org/viaf/50514849|lcnaf%%http://id.loc.gov/authorities/names/n79150346,1944/,,,,,Lynn H.,,Fox,91b30187-16fc-419c-ba9f-1bdd95d77a07
"Frame, John",,,,,,,,John,,Frame,e66eecf4-e98b-4024-b2d2-70fcbcafdd1f
"Franck, James, 1882-1964",,viaf%%http://viaf.org/viaf/113222021|lcnaf%%http://id.loc.gov/authorities/names/n83146477,1882/1964,,,,,James,,Franck,853a3b34-7c53-49f7-a2fc-3340222478bd
"Frank, Isaiah, 1917-2006",,viaf%%http://viaf.org/viaf/108218959|lcnaf%%http://id.loc.gov/authorities/names/n79139701,1917/2006,,,,,Isaiah,,Frank,d7f74bad-fef0-4a43-8dc0-3b0a483665c2
"Frank, Jerome D. (Jerome David), 1909-2005",,viaf%%http://viaf.org/viaf/42756464|lcnaf%%http://id.loc.gov/authorities/names/n50025712,1909/2005,,Jerome David,,,Jerome D.,,Frank,a1678aa8-80d6-46a1-a8a8-045232887bb3
"Frank, Jerome, 1889-1957",,viaf%%http://viaf.org/viaf/50358659|lcnaf%%http://id.loc.gov/authorities/names/n50025711,1889/1957,,,,,Jerome,,Frank,5c52d69e-08b2-4d01-a294-f3d9c37551da
"Franklin, Rosalind, 1920-1958",,viaf%%http://viaf.org/viaf/5856648|lcnaf%%http://id.loc.gov/authorities/names/n2001016339,1920/1958,,,,,Rosalind,,Franklin,8f95804a-cd35-4c6e-bb41-2d5cd99e9b00
Fredericks,Location information: New York,,,,,,,,,Fredericks,20742ea9-60bd-4ff9-aee6-07e41c016dd5
"Freeman, Sarah Elizabeth, 1906-1986",,viaf%%http://viaf.org/viaf/2054206|lcnaf%%http://id.loc.gov/authorities/names/no95051864,1906/1986,,,,,Sarah Elizabeth,,Freeman,8027964f-f72f-4035-a2c2-73fc898ddc4e
"Freese, John W.",,,,,,,,John W.,,Freese,69f86061-9e6d-4d80-8b72-e2fade2d68ad
"Freimuth, Henry C.",,,,,,,,Henry C.,,Freimuth,78e2345e-62a3-437d-a409-40360de16915
"Freud, Sigmund, 1856-1939",,viaf%%http://viaf.org/viaf/34456780|lcnaf%%http://id.loc.gov/authorities/names/n79043849,1856/1939,,,,,Sigmund,,Freud,4972f5f2-924b-4794-8a0b-cb67cadb429f
"Friedman, Herbert, 1916-2000",,viaf%%http://viaf.org/viaf/110041367|lcnaf%%http://id.loc.gov/authorities/names/n85057517,1916/2000,,,,,Herbert,,Friedman,8cc247d7-f0b8-4578-ac99-32d4746940de
"Friesinger, Gottlieb C., 1929-",,viaf%%http://viaf.org/viaf/48307499|lcnaf%%http://id.loc.gov/authorities/names/n88038317,1929/,,,,,Gottlieb C.,,Friesinger,4dcdaa76-9031-4de1-8ff3-7bc59e22630e
"Fritz, Sigmund, 1914-",,viaf%%http://viaf.org/viaf/7203118|lcnaf%%http://id.loc.gov/authorities/names/no2008084018,1914/,,,,,Sigmund,,Fritz,5f9c061e-b9bd-4784-9bdf-14407eec610f
"Fryers, Edwin",,,,,,,,Edwin,,Fryers,03793002-4c8a-480a-a06f-e2df4b81c14d
"Fuller, Charles",,,,,,,,Charles,,Fuller,39deca06-ceb2-409d-a2ce-997074c9ffe3
"Fuller, Troy",,,,,,,,Troy,,Fuller,75ac708e-f2dd-45a0-b78b-6e409beb7853
"Fulton, Lewis",,,,,,,,Lewis,,Fulton,f79897b4-e92a-49e5-ab0a-999136651efc
"Furst, Allison J.",,,,,,,,Allison J.,,Furst,23d429a2-8f84-4c1b-8b89-a85697c4e62f
"Gabor, Stanley C.",,,,,,,,Stanley C.,,Gabor,5e8b30c1-958a-4c84-aae2-de08fb0ccea5
"Galambos, Louis",,viaf%%http://viaf.org/viaf/66503725|lcnaf%%http://id.loc.gov/authorities/names/n82054860,,,,,,Louis,,Galambos,99277f9f-2df7-40d6-8a6b-ca5dac3e2282
"Galvin, Kevin",,,,,,,,Kevin,,Galvin,20ddf047-e363-47a1-9f70-18ee935ab9c7
"Gange, Fraser",,,,,,,,Fraser,,Gange,988348df-2cc8-4310-b707-874353dcd20f
"Garbis, Marvin Joseph",,viaf%%http://viaf.org/viaf/43188598|lcnaf%%http://id.loc.gov/authorities/names/n82105444,,,,,,Marvin Joseph,,Garbis,46e982ae-91e3-4cb0-a963-ec6429872b5e
"Gardner, John W. (John William), 1912-2002",,viaf%%http://viaf.org/viaf/109531856|lcnaf%%http://id.loc.gov/authorities/names/n79060119,1912/2002,,John William,,,John W.,,Gardner,15a7e4d6-052f-4a9b-863a-c6f7908dadef
"Gardner, Kirk",,,,,,,,Kirk,,Gardner,d787a052-2752-4ec1-a786-9544741fd21f
"Garrett, Alice Warder",,viaf%%http://viaf.org/viaf/20765013|lcnaf%%http://id.loc.gov/authorities/names/n97843373,,,,,,Alice Warder,,Garrett,46d69de7-0659-41b6-b0ea-4f7fb04dcf2b
"Garrett, Clarence B.",,,,,,,,Clarence B.,,Garrett,7b4b9522-bc9b-464a-84e8-d57099fd9178
"Garrett, John Work, 1872-1942",,viaf%%http://viaf.org/viaf/1687883|lcnaf%%http://id.loc.gov/authorities/names/n93098969,1872/1942,,,,,John Work,,Garrett,8986cbf1-6e91-4849-bb11-2ac2101d6a0b
"Garrett, Mary Elizabeth, 1854-1915",,viaf%%http://viaf.org/viaf/6859510|lcnaf%%http://id.loc.gov/authorities/names/n2008010593,1854/1915,,,,,Mary Elizabeth,,Garrett,98eb2bf0-c6f4-4d6e-a474-33789e15ca46
"Garroway, Dave, 1913-1982",,viaf%%http://viaf.org/viaf/18656484|lcnaf%%http://id.loc.gov/authorities/names/n85138045,1913/1982,,,,,Dave,,Garroway,e50e09f3-c2ba-4618-ad77-8293db594c2e
"Gatzke, Hans W. (Hans Wilhelm), 1915-1987",,viaf%%http://viaf.org/viaf/74782268|lcnaf%%http://id.loc.gov/authorities/names/n79042191,1915/1987,,Hans Wilhelm,,,Hans W.,,Gatzke,bc56950f-eefb-4a9a-8d2d-fc259ef60b5d
"Gayhart, E. L.",,,,,,,,E. L.,,Gayhart,abf13621-63f0-4af9-82b0-ba203f154ec9
"Gebelein, Conrad",,,,,,,,Conrad,,Gebelein,a82ff77c-6511-40ac-86f6-ef82d1416684
"Gebhard, J. W.",,viaf%%http://viaf.org/viaf/93732992,,,,,,J. W.,,Gebhard,47b40af3-7771-4224-b8cf-b4be5999036e
"Gebo, Kelly A.",,viaf%%http://viaf.org/viaf/16594929|lcnaf%%http://id.loc.gov/authorities/names/n2002161417,,,,,,Kelly A.,,Gebo,bd5c9fd2-6eb6-44d5-9efe-4bf58b62fdb1
"Gee, E. Gordon (Elwood Gordon), 1944-",,viaf%%http://viaf.org/viaf/108853391|lcnaf%%http://id.loc.gov/authorities/names/n77015912,1944/,,Elwood Gordon,,,E. Gordon,,Gee,909b9446-0a8c-4854-8a16-ca86b97f5005
"Geertz, Clifford",,viaf%%http://viaf.org/viaf/108430277|lcnaf%%http://id.loc.gov/authorities/names/n79131889,,,,,,Clifford,,Geertz,f998b77c-1be5-49ea-a317-667c7fb1fb52
"Geier, Leo, 1926-2017",,viaf%%http://viaf.org/viaf/283090744|lcnaf%%http://id.loc.gov/authorities/names/n2018037688,1926/2017,,,,,Leo,,Geier,f6153cfe-e6e1-4e3b-9dbe-a6391d85e635
"Gentile, Paul","Associated information: New York, NY; United Methodist Missions, NY; United Methodist Missions",,,,,,,Paul,,Gentile,e0012e19-c908-4af5-b097-189d9e0fe834
"Gerberding, William P., 1929-2014",,viaf%%http://viaf.org/viaf/31806847|lcnaf%%http://id.loc.gov/authorities/names/no2008072202,1929/2014,,,,,William P.,,Gerberding,5fb7d38d-7c48-4f6a-8db1-865fa6905492
"Gey, George O.",,,,,,,,George O.,,Gey,5c16c349-5030-4072-b044-fdd06c2118bd
"Geyer, John Charles, 1906-1995",,viaf%%http://viaf.org/viaf/109518884|lcnaf%%http://id.loc.gov/authorities/names/n50016539,1906/1995,,,,,John Charles,,Geyer,0b93d452-ddf8-4234-9997-b8eedc832cab
"Ghorbani, Soudeh",,,,,,,,Soudeh,,Ghorbani,a7829672-fbed-495d-9315-947478cc8daf
"Giacconi, Riccardo",,viaf%%http://viaf.org/viaf/88051475|lcnaf%%http://id.loc.gov/authorities/names/n80089661,,,,,,Riccardo,,Giacconi,e583da67-84aa-4ddd-aa02-90cd2fe6beda
"Gibson, Ralph E.",,viaf%%http://viaf.org/viaf/170926967|lcnaf%%http://id.loc.gov/authorities/names/n79128707,,,,,,Ralph E.,,Gibson,13be9c86-7cc4-4bbf-887e-43f1b578e80d
"Gifford, Walter S. (Walter Sherman), 1885-1966",,viaf%%http://viaf.org/viaf/2058347|lcnaf%%http://id.loc.gov/authorities/names/no96020441,1885/1966,,Walter Sherman,,,Walter S.,,Gifford,003d63fe-5619-4dcc-9706-8653b5e4180a
"Gildersleeve, Basil L. (Basil Lanneau), 1831-1924",,viaf%%http://viaf.org/viaf/2490055|lcnaf%%http://id.loc.gov/authorities/names/n85130219,1831/1924,,Basil Lanneau,,,Basil L.,,Gildersleeve,8452bed7-e011-42c3-a53d-937d09409b35
"Gillette, Guy","Location information: Yonkers, NY, NY",,,,,,,Guy,,Gillette,3ed3d5d0-4e64-4d87-a22c-6348ffd156ff
"Gilman, Daniel C. (Daniel Coit), 1831-1908",,viaf%%http://viaf.org/viaf/30292566|lcnaf%%http://id.loc.gov/authorities/names/n50033408,1831/1908,,Daniel Coit,,,Daniel C.,,Gilman,39786e28-cf71-4e90-a026-2deb59c3dfd9
"Gilman, Elisabeth Coit, 1867-1950",,viaf%%http://viaf.org/viaf/259812436|lcnaf%%http://id.loc.gov/authorities/names/n2012048143,1867/1950,,,,,Elisabeth Coit,,Gilman,a48c479d-f460-4e02-9680-7ce266f3b32d
"Gilman, Lawrence",,,,,,,,Lawrence,,Gilman,76ab7849-0490-44b5-a546-5057d25052c7
"Ginsberg, Benjamin",,viaf%%http://viaf.org/viaf/85282070|lcnaf%%http://id.loc.gov/authorities/names/n81118923,,,,,,Benjamin,,Ginsberg,b8aa18f6-fe24-42f8-9841-6093ffdb70b3
"Ginsburg, Robert N.",,viaf%%http://viaf.org/viaf/59149918|lcnaf%%http://id.loc.gov/authorities/names/n50029917,,,,,,Robert N.,,Ginsburg,51bc9bdc-4ec7-4509-8f53-0c6ba86493ed
"Glass, Bentley, 1906-2005",,viaf%%http://viaf.org/viaf/97849612|lcnaf%%http://id.loc.gov/authorities/names/n50033095,1906/2005,,,,,Bentley,,Glass,515d4338-539a-40fc-b32a-34b47ec338eb
"Glena, Don",Associated information: SUNY-Buffalo,,,,,,,Don,,Glena,6de97839-6e1a-4712-87b2-690fe7519442
"Goldman, Richard Franko, 1910-1980",,viaf%%http://viaf.org/viaf/98887998|lcnaf%%http://id.loc.gov/authorities/names/n81012441,1910/1980,,,,,Richard Franko,,Goldman,a315c757-4543-44be-94ea-c889ba3c18d0
"Goldsmith, Martin, 1952-",,viaf%%http://viaf.org/viaf/6638953|lcnaf%%http://id.loc.gov/authorities/names/n95028755,1952/,,,,,Martin,,Goldsmith,056394a7-84b6-4773-9d16-8aace60792ae
"Goldstein, Moise H., 1882-1972",,viaf%%http://viaf.org/viaf/61266833|lcnaf%%http://id.loc.gov/authorities/names/no2004112131,1882/1972,,,,,Moise H.,,Goldstein,78966272-44e7-4600-b3f1-a960d50749a9
"González, Eduardo, 1943-",,viaf%%http://viaf.org/viaf/93782805|lcnaf%%http://id.loc.gov/authorities/names/n79008285,1943/,,,,,Eduardo,,González,253f6eb1-6dc5-481d-8216-5e6ad96b1613
"Goodnow, Frank J., 1859-1939",,viaf%%http://viaf.org/viaf/37278427|lcnaf%%http://id.loc.gov/authorities/names/n79021181,1859/1939,,,,,Frank J.,,Goodnow,7a831a78-0f87-4839-96f8-678dcf30423c
"Gordon, Harry",,,,,,,,Harry,,Gordon,09d901bf-9cae-453c-8482-e4fb3d1c977c
"Gordon, Lincoln",,viaf%%http://viaf.org/viaf/22231705|lcnaf%%http://id.loc.gov/authorities/names/n79023153,,,,,,Lincoln,,Gordon,79e4870d-fa23-4d95-9459-facd00074380
"Gore, Willis C.",,,,,,,,Willis C.,,Gore,67d8e48b-d9ba-4acb-a36c-0a32e54c6475
"Gorman, Linda K.",,,,,,,,Linda K.,,Gorman,9e005ef2-0415-420c-95d0-d90ffab37d5a
"Gould, David M.",,,,,,,,David M.,,Gould,18143e7d-018d-4412-ba3d-7029c8e369f3
"Grauer, Neil A.",,viaf%%http://viaf.org/viaf/38296048|lcnaf%%http://id.loc.gov/authorities/names/n83174542,,,,,,Neil A.,,Grauer,ddbab91b-9d68-4ab7-acc3-0551781c0001
"Gray, Carol",,,,,,,,Carol,,Gray,70cebec6-6b14-4bd2-bfc3-2652ecae3b7e
"Green, G. K.",,,,,,,,G. K.,,Green,657d3fb3-14a8-4a1c-ac66-14ccfa8266fc
"Green, Gareth M., 1931-",,viaf%%http://viaf.org/viaf/110802157|lcnaf%%http://id.loc.gov/authorities/names/n87817353,1931/,,,,,Gareth M.,,Green,082ae101-96c5-4aa7-9e11-34bcbd0b796e
