term_name,description,field_authority_link,field_location_of_meeting,field_num_of_section_or_meet,field_primary_name,field_subordinate_name,field_unique_id
Cassini (Spacecraft),,viaf%%http://viaf.org/viaf/159837654|lcnaf%%http://id.loc.gov/authorities/names/no2010034240,,,Cassini (Spacecraft),,c11f4670-fd40-4226-a482-8a7c14f39e84
Centers for Disease Control and Prevention (U.S.),,viaf%%http://viaf.org/viaf/139950776|lcnaf%%http://id.loc.gov/authorities/names/no93011529,,,Centers for Disease Control and Prevention (U.S.),,28528346-299b-4da2-9ac9-8ae922472163
Century,,,,,Century,,d095da3e-6506-4682-932e-a46a2bc5f688
Challenger (Spacecraft),,viaf%%http://viaf.org/viaf/170078796|lcnaf%%http://id.loc.gov/authorities/names/n83155337,,,Challenger (Spacecraft),,76f003b0-1e9b-4fb7-901b-9ba40bddf0bftid
Charles & Polly,"Location information: Harrisonburg, VA|basic_html|Location information: Harrisonburg, VA",,,,Charles & Polly,,0bafd7f2-2b65-40d5-80de-74da0a59dd39
Charlotte Engraving Co.,"Location information: Charlotte, NC|basic_html|Location information: Charlotte, NC",,,,Charlotte Engraving Co.,,b6b45fa4-7a10-4152-89e0-8afbba67bd92
"Chase, Ltd.","Location information: Washington, DC|basic_html|Location information: Washington, DC",,,,"Chase, Ltd.",,0013a7ab-5504-4f6a-afa1-3ffd67394279
Chesapeake Bay Institute,,viaf%%http://viaf.org/viaf/136033025|lcnaf%%http://id.loc.gov/authorities/names/n79125730,,,Chesapeake Bay Institute,,4698c49c-843b-4c90-91b2-bbf189c51d6d
Chesapeake Bay Program (U.S.),,viaf%%http://viaf.org/viaf/148463290|lcnaf%%http://id.loc.gov/authorities/names/no98080295,,,Chesapeake Bay Program (U.S.),,0bac3916-7297-4131-a06f-16007312edde
Chesapeake Troubadors,,,,,Chesapeake Troubadors,,76e1b1b7-174c-44b5-8640-eee0fda0d835
Cheyne's Studio,"Location information: Hampton, VA|basic_html|Location information: Hampton, VA",,,,Cheyne's Studio,,a02b3af0-dfa5-4de2-a55a-6eccfcc27e8e
Chicago Photographers,"Location information: Chicago, IL|basic_html|Location information: Chicago, IL",,,,Chicago Photographers,,5401c49a-a84b-4155-882e-aa4e0ad0addc
Chicago Tribune (Firm),,viaf%%http://viaf.org/viaf/143602955,,,Chicago Tribune (Firm),,48037787-ade3-4719-946b-5ad5fe400636
Child Studio,"Location information: Davenport, IA|basic_html|Location information: Davenport, IA",,,,Child Studio,,c4b4b6b2-d24c-4af2-bad2-5e3bd6050ce7
Children of God (Organization),,viaf%%http://viaf.org/viaf/143326162|lcnaf%%http://id.loc.gov/authorities/names/nb2007026829,,,Children of God (Organization),,9985e84c-3486-4178-9564-53f9f418aa5a
Christhilf Studio,"Location information: 21 W. Lexington St., Baltimore, MD|basic_html|Location information: 21 W. Lexington St., Baltimore, MD",,,,Christhilf Studio,,653040e0-2315-4553-ad6f-3ddcfef49643
Christian Bible College of Baton Rouge,,,,,Christian Bible College of Baton Rouge,,fb0d833f-a4fc-43d9-a5a9-b63b03e3ba8c
"Clark University (Worcester, Mass.)",,viaf%%http://viaf.org/viaf/159337591|lcnaf%%http://id.loc.gov/authorities/names/n80020290,,,"Clark University (Worcester, Mass.)",,e5cd6c18-62e9-4a9f-a380-d8f874d8fbc9
Clinedinst Studio,"Location information: Washington, DC|basic_html|Location information: Washington, DC",,,,Clinedinst Studio,,75f7765e-de91-4ade-8a58-46790917d689
Columbia (Spacecraft),,viaf%%http://viaf.org/viaf/155895964|lcnaf%%http://id.loc.gov/authorities/names/n81116268,,,Columbia (Spacecraft),,89c14efb-d3da-4f0e-a075-0e1dc986733a
Columbia University,,viaf%%http://viaf.org/viaf/156836332|lcnaf%%http://id.loc.gov/authorities/names/n81024714,,,Columbia University,,237079eb-895d-434a-8402-e0b70ede229b
Converge Studios,Location information: New York|basic_html|Location information: New York,,,,Converge Studios,,add8d831-80d5-41ce-8638-4d820bd74284
Converse Studios,,,,,Converse Studios,,b29e120b-4a16-455a-ab60-9d2befa1e4ec
Conway Studio,"Location information: New York City, NY|basic_html|Location information: New York City, NY",,,,Conway Studio,,132e8c28-58ac-4eab-a030-96d86c1b0eaf
Cook and Welch,,viaf%%http://viaf.org/viaf/254625739,,,Cook and Welch,,43b048d7-aa84-494c-9023-220cf189940f
Coreystone-Stoller Corp.,,,,,Coreystone-Stoller Corp.,,4cf7beab-0b26-4cb8-b9a0-89415cfd4228
Corinne Studio,"Location information: Bloomington, IL|basic_html|Location information: Bloomington, IL",,,,Corinne Studio,,fd61db9a-4534-46b7-bcfd-21f1bb8ce827
Cosmo Photographers,,,,,Cosmo Photographers,,4abfd27c-f3c4-4e70-9881-46afa0443b8a
COSPAR,,viaf%%http://viaf.org/viaf/150890832|lcnaf%%http://id.loc.gov/authorities/names/n79043333,,,COSPAR,,82ebb0a9-0207-4428-8c16-66a4b921df8b
Covington & Burling,,viaf%%http://viaf.org/viaf/124423873|lcnaf%%http://id.loc.gov/authorities/names/n86841506,,,Covington & Burling,,0146ba96-1510-4260-90c8-097fc5ad52b3
Cronhardt & Sons,"Location information: Baltimore, MD|basic_html|Location information: Baltimore, MD",,,,Cronhardt & Sons,,a9719a47-adec-414d-b9bc-cc951106d1cf
Curtiss-Wright Flying Service. Photo Division,,,,,Curtiss-Wright Flying Service,Photo Division,e98e4aeb-a7e4-4a5a-99ea-97abca1374c2
Curzon Studios,"Location information: Richmond, Surrey, England|basic_html|Location information: Richmond, Surrey, England",,,,Curzon Studios,,b48e4f7d-9b5d-41f8-a653-bc0c5f916d5c
d'Arsee Studio,"Location information: Lancaster, PA|basic_html|Location information: Lancaster, PA",,,,d'Arsee Studio,,b75da41b-d9bd-401c-b0e4-a5f459729109
David Dunlap Observatory,,viaf%%http://viaf.org/viaf/139500063|lcnaf%%http://id.loc.gov/authorities/names/n90617792,,,David Dunlap Observatory,,87b36e81-b145-4f4e-b669-9e151690c08c
DeLamater & Son,"Location information: Hartford, CT|basic_html|Location information: Hartford, CT",,,,DeLamater & Son,,6f745c87-d992-4389-9904-a28fabb5d9ec
Discovery (Spacecraft),,viaf%%http://viaf.org/viaf/175764788|lcnaf%%http://id.loc.gov/authorities/names/no89003749,,,Discovery (Spacecraft),,c69fd7a5-5cef-4c8c-8c89-2a1a6611ab04
Documentary Company,,viaf%%http://viaf.org/viaf/158370437|lcnaf%%http://id.loc.gov/authorities/names/n87843041,,,Documentary Company,,4d8fe222-cfcb-4c3b-8405-c12d57cb0c5a
Du Mont Television Network,,viaf%%http://viaf.org/viaf/123248601|lcnaf%%http://id.loc.gov/authorities/names/n87843049,,,Du Mont Television Network,,78885295-d360-4aef-9737-3f8cc40ba124
E. Sachser & Co.,,,,,E. Sachser & Co.,,ac7ac693-2032-4bc5-809e-ebf89f1e7805
"E.G. Williams & Bro. (New York, N.Y.)",,lcnaf%%http://id.loc.gov/authorities/names/no2009086768|viaf%%http://viaf.org/viaf/145813325,,,"E.G. Williams & Bro. (New York, N.Y.)",,4f37289e-d38f-468d-b237-fa966bd7a7d9
Edwyn Portrait,,,,,Edwyn Portrait,,80f2e5a4-e945-4249-89ea-de5e7ca6be2c
Elliott & Fry,"Location information: London, England|basic_html|Location information: London, England",viaf%%http://viaf.org/viaf/121043409|lcnaf%%http://id.loc.gov/authorities/names/n2005054833,,,Elliott & Fry,,0edd9ba3-7cc1-4235-9871-1959b32ac385
"Enell, Inc.","Location information: Jamaica, NY|basic_html|Location information: Jamaica, NY",,,,"Enell, Inc.",,f04d96b7-6a3f-4de1-afb4-4121ebe5de62
Eniwetok Marine Biological Laboratory,,viaf%%http://viaf.org/viaf/152468730|lcnaf%%http://id.loc.gov/authorities/names/n82114255,,,Eniwetok Marine Biological Laboratory,,356f9d17-8ec6-40ac-b801-1756eb0bd4a8
Enoch Pratt Free Library,,viaf%%http://viaf.org/viaf/143982550|lcnaf%%http://id.loc.gov/authorities/names/n50040216,,,Enoch Pratt Free Library,,56abdca4-77d2-4830-a8af-e85d1b3ae8fd
Esquire Studios,Location information: New York|basic_html|Location information: New York,,,,Esquire Studios,,e512a756-42e8-4f95-b595-54014e5da122
Evergreen House (Johns Hopkins University),,viaf%%http://viaf.org/viaf/155243048|lcnaf%%http://id.loc.gov/authorities/names/nr2004020383,,,Evergreen House (Johns Hopkins University),,14e7932b-d047-4bd5-a896-483517f3f17a
"Exposition Press, Inc.",,,,,"Exposition Press, Inc.",,f8728b06-bc49-4021-b783-dc87d93294a3
"F. Gutekunst, Photographers (Philadelphia, Pa.)",,viaf%%http://viaf.org/viaf/156116143|lcnaf%%http://id.loc.gov/authorities/names/n98020916,,,"F. Gutekunst, Photographers (Philadelphia, Pa.)",,7acdc8a5-e1c4-4695-ac9b-fc82ce07c033
F. Michelm & George Leafe,,,,,F. Michelm & George Leafe,,59c753dd-5566-4f64-a844-5ff5d1dae5f9
Fans-Dementi Studio,,,,,Fans-Dementi Studio,,6731c095-0ac6-486d-8c26-063d26e2e73b
Fighting American Nationalists,,viaf%%http://viaf.org/viaf/148194063|lcnaf%%http://id.loc.gov/authorities/names/nr93020129,,,Fighting American Nationalists,,15f11144-6421-48c1-a55b-470b658c4c7a
Finlay and Conn,,,,,Finlay and Conn,,e13fce80-c8c1-4bb6-af21-240848be56a6
Fletcher School of Law and Diplomacy,,viaf%%http://viaf.org/viaf/128137354|lcnaf%%http://id.loc.gov/authorities/names/n82076360,,,Fletcher School of Law and Diplomacy,,80de8f7c-2466-472d-aa6c-9cf367d0cd57
Folkemer Photo Service,,,,,Folkemer Photo Service,,acaea146-b445-457e-93d5-604bfbc179b3
