id,url,uuid,title,field_collection_number,field_date_available,field_date_published,field_finding_aid,field_item_barcode,field_library_catalog_link,field_oclc_number,field_unique_id,field_abstract,field_rights,field_access_terms,field_copyright_and_use,field_description,field_digital_publisher,field_genre,field_model,field_publisher,field_resource_type,field_subject,field_alternative_title,field_featured_item,field_dspace_item_id,field_digital_identifier,field_creator,field_publisher_country,field_spatial_coverage,field_date_copyrighted,field_date_created,file,field_contributor
3001,https://digital.library.jhu.edu/node/14098,a3f4c55e-f9cd-4da7-b6c7-810cb9908217,"Johns Hopkins University News-letter, Volume 76, Number 21 (1971 November 19)",RG.14.050,2017-01-26,1971-11-19,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,97ccd126-c3af-4690-a19c-e6c562e09deb,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,47303775-94bc-4dfe-a995-ac38d6087270,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1971_76_21.pdf,
3002,https://digital.library.jhu.edu/node/14099,c3c21be3-479c-4b34-a25b-17ee99f7121b,"Johns Hopkins University News-letter, Volume 76, Number 22 (1971 November 23)",RG.14.050,2017-01-26,1971-11-23,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,64d4c2fe-8462-4f1a-9b7e-4a5f46930646,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,efd30867-eca6-4a78-9cd7-cc779f880646,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1971_76_22.pdf,
3003,https://digital.library.jhu.edu/node/14100,ab841ede-f5ee-4e0b-93b1-3250454bba50,"Johns Hopkins University News-letter, Volume 76, Number 23 (1971 December 03)",RG.14.050,2017-01-26,1971-12-03,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,c6fff056-d5d6-400e-b7fc-1ee9d7cedff9,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,280b1e08-34f3-44c4-95ba-ca103414d7ac,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1971_76_23.pdf,
3004,https://digital.library.jhu.edu/node/14101,13733e82-ea7c-456c-b923-30cfc82f4c2d,"Johns Hopkins University News-letter, Volume 76, Number 24 (1971 December 07)",RG.14.050,2017-01-26,1971-12-07,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,c8b97fc0-3c4f-460f-b0e8-53443b49e208,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,e7c174ce-292e-4ae3-b40a-efb202f03d2a,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1971_76_24.pdf,
3005,https://digital.library.jhu.edu/node/14102,f538a98b-a133-496a-94da-015014501a4f,"Johns Hopkins University News-letter, Volume 76, Number 25 (1971 December 10)",RG.14.050,2017-01-26,1971-12-10,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,c7116a07-25ee-4627-8e6e-5f15a2ea25e2,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,229e0111-9f8d-4003-ba32-ec4fea2630f8,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1971_76_25.pdf,
3006,https://digital.library.jhu.edu/node/14103,edfc402b-cf8b-42e3-9d2b-89e5b5c6d8cd,"Johns Hopkins University News-letter, Volume 76, Number 26 (1972 January 28)",RG.14.050,2017-02-16,1972-01-28,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,7a51ee74-d220-4f04-8fb2-13a984564727,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,f7197f9c-3330-4168-a8b7-ea94446bf7f1,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1972_76_26.pdf,
3007,https://digital.library.jhu.edu/node/14104,bf93216f-c5a2-4182-9bb9-e632d21259b1,"Johns Hopkins University News-letter, Volume 76, Number 27 (1972 February 01)",RG.14.050,2017-01-26,1972-02-01,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,ff03922b-51e2-4d48-97e5-ab6df1167c4d,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,86db131f-0e03-4982-aca7-11c672dc4a54,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1972_76_27.pdf,
3008,https://digital.library.jhu.edu/node/14105,9e8b5ff5-1cbc-4ce1-91c9-37b33875aef2,"Johns Hopkins University News-letter, Volume 76, Number 29 (1972 February 08)",RG.14.050,2017-01-26,1972-02-08,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,944e2d27-2a83-4586-89b3-f71dd33fba16,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,86da6b1a-3849-4d9d-8266-df23104514ae,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1972_76_29.pdf,
3009,https://digital.library.jhu.edu/node/14106,592d24d7-4ca8-4ad0-9587-21281ffc8b6b,"Johns Hopkins University News-letter, Volume 76, Number 30 (1972 February 11)",RG.14.050,2017-01-26,1972-02-11,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,8d8ffa09-3d74-44e5-b7e1-ba2b3adb60fd,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,10c2104d-dc55-46cb-a217-94a0bb4589e3,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1972_76_30.pdf,
3010,https://digital.library.jhu.edu/node/14107,e7dd396a-a468-44f3-be49-64a2dfd0021c,"Johns Hopkins University News-letter, Volume 76, Number 31 (1972 February 15)",RG.14.050,2017-01-26,1972-02-15,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,c9ec057a-342a-4ff7-804e-c37c592d18fb,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,e21c89e1-e239-4f07-824c-ce3d10bd8896,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1972_76_31.pdf,
