id,url,uuid,title,field_collection_number,field_date_available,field_date_published,field_finding_aid,field_item_barcode,field_library_catalog_link,field_oclc_number,field_unique_id,field_abstract,field_rights,field_access_terms,field_copyright_and_use,field_description,field_digital_publisher,field_genre,field_model,field_publisher,field_resource_type,field_subject,field_alternative_title,field_featured_item,field_dspace_item_id,field_digital_identifier,field_creator,field_publisher_country,field_spatial_coverage,field_date_copyrighted,field_date_created,file,field_contributor
2001,https://digital.library.jhu.edu/node/13098,2984c116-9f9c-4116-8fbc-f9832efbc0db,"Johns Hopkins University News-letter, Volume 28, Number 25 (1924 January 11)",RG.14.050,2016-09-30,1924-01-11,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,b576c02f-dba1-4c3d-9954-c64ddb9fd248,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,632623c4-c9cd-4851-8b10-615d6d19ebdc,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1924_028_025.pdf,
2002,https://digital.library.jhu.edu/node/13099,81abc24f-acfa-448d-93ad-b016273d7917,"Johns Hopkins University News-letter, Volume 28, Number 26 (1924 January 15)",RG.14.050,2016-10-05,1924-01-15,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,f4c85ebe-8bb0-4de2-ad92-9b899fec2321,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,6bc51713-0e27-4919-9867-0a788e8527b1,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1924_028_026.pdf,
2003,https://digital.library.jhu.edu/node/13100,5bcbb0f5-df2e-4fbf-b57b-0475a1d00f0e,"Johns Hopkins University News-letter, Volume 28, Number 27 (1924 January 18)",RG.14.050,2016-10-05,1924-01-18,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,67786a15-c52c-4581-aeb6-6515f05813f0,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,6843b076-54c4-4f93-901e-01e9b35fd348,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1924_028_027.pdf,
2004,https://digital.library.jhu.edu/node/13101,fefbbe44-6d88-4885-9d69-9ea833ef5de2,"Johns Hopkins University News-letter, Volume 28, Number 28 (1924 January 22)",RG.14.050,2016-10-05,1924-01-22,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,70685c1d-c1f3-4fa8-bc2c-8d2a253ed124,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,3943ed8b-6bc6-4ae6-9613-5058bea3d7bb,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1924_028_028.pdf,
2005,https://digital.library.jhu.edu/node/13102,d511dd20-f45e-4fb3-a258-acab7e33c4eb,"Johns Hopkins University News-letter, Volume 28, Number 30 (1924 January 30)",RG.14.050,2016-10-05,1924-01-30,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,fea30561-d806-4a21-b833-3794fc1e1206,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,918d62a2-b6e5-4363-99a4-c732e140cbc1,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1924_028_030.pdf,
2006,https://digital.library.jhu.edu/node/13103,602b5893-f1cb-4073-9613-7930caa24600,"Johns Hopkins University News-letter, Volume 28, Number 31 (1924 February 08)",RG.14.050,2016-10-05,1924-02-08,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,0e1585cc-71ba-421f-9742-c335d14c8676,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,8f7a776f-3daf-4ac7-ab64-15c41e9e7926,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1924_028_031.pdf,
2007,https://digital.library.jhu.edu/node/13104,326a2636-ae63-4bd2-8fd8-4f5d887d417e,"Johns Hopkins University News-letter, Volume 28, Number 32 (1924 February 12)",RG.14.050,2016-10-05,1924-02-12,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,8b17394d-3829-49f5-ba01-43f4a5b4ae5b,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,bb6a508b-b21e-405f-b581-a0132c86cf0e,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1924_028_032.pdf,
2008,https://digital.library.jhu.edu/node/13105,70e5965f-a794-4135-b5b2-85d464ffdc9e,"Johns Hopkins University News-letter, Volume 28, Number 33 (1924 February 15)",RG.14.050,2016-10-05,1924-02-15,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,0fd37c73-0f3b-427e-9670-9c643331e9b8,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,f042afff-3491-4a9b-a2db-10e02b498a39,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1924_028_033.pdf,
2009,https://digital.library.jhu.edu/node/13106,2affe64d-c505-4270-a07b-874403eea06d,"Johns Hopkins University News-letter, Volume 28, Number 34 (1924 February 19)",RG.14.050,2016-10-05,1924-02-19,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,f491ff9f-084e-480c-9f8e-bca4c8de94d1,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,5ea2a142-fe8d-4f6b-a02a-764736fd24c4,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1924_028_034.pdf,
2010,https://digital.library.jhu.edu/node/13107,1339ba51-e620-47a1-8ce0-ce100ec38b7b,"Johns Hopkins University News-letter, Volume 28, Number 35 (1924 February 21)",RG.14.050,2016-10-05,1924-02-21,https://aspace.library.jhu.edu/repositories/3/resources/1131,,,,04e884ef-c3c3-46bc-b3b5-a2fb54f6eff6,,Public digital access,News-Letters,Copyright Not Evaluated,,Johns Hopkins University. Sheridan Libraries,newsletters||publications (documents),Digital Document,The Johns Hopkins News-Letter,Text,College students--Societies and clubs||College student newspapers and periodicals,,,a52dda0a-13cf-4e81-b090-3e8b8d38e50d,,relators:aut:The Johns Hopkins News-Letter,United States,Maryland--Baltimore,,,https://stage.digital.library.jhu.edu/system/files/2022-03-16/1924_028_035.pdf,
