term_name,description,field_authority_link,field_geo_alt_name,field_unique_id
Haiti--Port-au-Prince,,fast%%http://id.worldcat.org/fast/1205704|geonames%%http://sws.geonames.org/3718426/|viaf%%http://viaf.org/viaf/238402846,,b980eac4-650d-4ebc-8a25-429bff76c28d
Hawaii,,fast%%http://id.worldcat.org/fast/1208724|geonames%%http://sws.geonames.org/5855797,,0297e036-59d5-46ee-b32a-36d33502204c
Illinois--Chicago,,fast%%http://id.worldcat.org/fast/1204048|geonames%%http://sws.geonames.org/4887398/|viaf%%http://viaf.org/viaf/126028111,,c115a991-502c-4806-b3ae-64aa2baf7e05
India,,fast%%http://id.worldcat.org/fast/1210276|geonames%%http://sws.geonames.org/1269750/|viaf%%http://viaf.org/viaf/135375457,,2041ddbf-fa41-409e-b13d-63200962d056
Iran,,fast%%http://id.worldcat.org/fast/1204889|geonames%%http://sws.geonames.org/130758/|viaf%%http://viaf.org/viaf/149669363,,f1b4e9c2-3202-47f2-b578-13ebca5e647f
Italy,,fast%%http://id.worldcat.org/fast/1204565|geonames%%http://sws.geonames.org/3175395/|viaf%%http://viaf.org/viaf/152361066,,70aa746f-1c9a-4cb9-8a02-54df1c16b731
Italy--Bologna,,fast%%http://id.worldcat.org/fast/1204551|geonames%%http://sws.geonames.org/3181928/|viaf%%http://viaf.org/viaf/144875967,,e193eb86-d3bf-44c1-a116-fbeaacf4e0e5
Jamaica,,fast%%http://id.worldcat.org/fast/1211575|geonames%%http://sws.geonames.org/3489940/|viaf%%http://viaf.org/viaf/126584662,,dd4c55f3-9e7c-4c2d-bdbd-48fd7e867bdc
Japan--Hiroshima-shi,,fast%%http://id.worldcat.org/fast/1209723|geonames%%http://sws.geonames.org/1862415/|viaf%%http://viaf.org/viaf/136221777,,c804f7a0-fb88-4341-acab-7703405ec7cf
Japan--Nagasaki-shi,,fast%%http://id.worldcat.org/fast/1211968|geonames%%http://sws.geonames.org/1856152/|viaf%%http://viaf.org/viaf/251144404,,6e8e35cb-c821-4d09-bf55-74b84fdf4f7f
Jupiter (Planet),,fast%%http://id.worldcat.org/fast/1244812,,67a47c41-35fc-4389-bd87-a91cf734d17a
Kentucky--Mammoth Cave,,fast%%http://id.worldcat.org/fast/1242754|geonames%%http://sws.geonames.org/4299728,,a05492de-84ec-4243-a6b3-f80401598926
Laos,,viaf%%http://viaf.org/viaf/122772641%http://id.worldcat.org/fast/1210322|geonames%%http://sws.geonames.org/1655842/,,493bd83d-e411-49a2-ae9f-e474ffd75b5a
Latin America,,fast%%http://id.worldcat.org/fast/1245945,,e3de0fc4-1e5f-4359-be77-520658021954
Maine--North Haven,,fast%%http://id.worldcat.org/fast/1249945|geonames%%http://sws.geonames.org/4973580/,,baf86ca2-6e2c-4a47-8e51-5657424b263d
Mars (Planet),,fast%%http://id.worldcat.org/fast/1243063,,fbc005ea-21ec-46c9-a9ce-9f8c055578f7
Maryland,,fast%%http://id.worldcat.org/fast/1204739|geonames%%http://sws.geonames.org/4361885/|viaf%%http://viaf.org/viaf/151255387,,8a3d3cb6-ba3f-498c-820b-482f5a095d86
Maryland--Annapolis,,fast%%http://id.worldcat.org/fast/1206088|geonames%%http://sws.geonames.org/4347242/|viaf%%http://viaf.org/viaf/123791303,,d0c284cd-bbd7-4476-a485-5020a4756d52
Maryland--Baltimore,,fast%%http://id.worldcat.org/fast/1204292|geonames%%http://sws.geonames.org/4347778/|viaf%%http://viaf.org/viaf/235452840,,05408af5-7aad-49cf-8b1c-74ad5885ecf8
Maryland--Baltimore--Charles Street,,fast%%http://id.worldcat.org/fast/1324739,,c8cae8ce-fb9e-4267-87eb-6024b6326090
Maryland--Baltimore--Clifton Park,,http://sws.geonames.org/11979959/,,95d0375f-ab32-48a6-b144-2eaa2b280298
Maryland--Baltimore--Druid Hill Park,,fast%%http://id.worldcat.org/fast/1905926|geonames%%http://sws.geonames.org/11979969/,,9552b8a2-f1ce-4ccf-b35a-f85241ff890f
Maryland--Baltimore--East Baltimore,,fast%%http://id.worldcat.org/fast/1322875|viaf%%http://viaf.org/viaf/149096200,,e1d8ae12-2f5a-495e-a39b-fd3cc8da48f9
Maryland--Baltimore--Guilford,,fast%%http://id.worldcat.org/fast/1323582|geonames%%http://sws.geonames.org/4357042/|viaf%%http://viaf.org/viaf/151443439,,8ba750f7-f2a7-4eab-8378-ffcc0dbc3bb5
Maryland--Baltimore--Hampden,,fast%%http://id.worldcat.org/fast/1329936|geonames%%http://sws.geonames.org/4357268/|viaf%%http://viaf.org/viaf/132736658,,017dbe4f-635f-4022-8953-68d8fd3730af
